date|open|high|low|close|adj close|volume|date2
11/11/2022|3963.72|4001.48|3944.82|3992.93|3992.93|5593310000|11/11/2022
11/10/2022|3859.89|3958.33|3859.89|3956.37|3956.37|5781260000|11/10/2022
11/9/2022|3810.94|3818.20|3744.22|3748.57|3748.57|4645010000|11/9/2022
11/8/2022|3817.02|3859.40|3786.28|3828.11|3828.11|4607640000|11/8/2022
11/7/2022|3780.71|3813.95|3764.70|3806.80|3806.80|4341620000|11/7/2022
11/4/2022|3766.98|3796.34|3708.84|3770.55|3770.55|-|11/4/2022
11/3/2022|3733.25|3750.59|3698.15|3719.89|3719.89|4625290000|11/3/2022
11/2/2022|3852.90|3894.44|3758.68|3759.69|3759.69|4899000000|11/2/2022
11/1/2022|3901.79|3911.79|3843.80|3856.10|3856.10|4481210000|11/1/2022
10/31/2022|3881.85|3893.73|3863.18|3871.98|3871.98|4820620000|10/31/2022
10/28/2022|3808.26|3905.42|3808.26|3901.06|3901.06|4459410000|10/28/2022
10/27/2022|3834.69|3859.95|3803.79|3807.30|3807.30|4687320000|10/27/2022
10/26/2022|3825.97|3886.15|3824.07|3830.60|3830.60|4817310000|10/26/2022
10/25/2022|3799.44|3862.85|3799.44|3859.11|3859.11|4843120000|10/25/2022
10/24/2022|3762.01|3810.74|3741.65|3797.34|3797.34|4747930000|10/24/2022
10/21/2022|3657.10|3757.89|3647.42|3752.75|3752.75|5078020000|10/21/2022
10/20/2022|3689.05|3736.00|3656.44|3665.78|3665.78|4496620000|10/20/2022
10/19/2022|3703.11|3728.58|3666.51|3695.16|3695.16|4223800000|10/19/2022
10/18/2022|3746.26|3762.79|3686.53|3719.98|3719.98|4483740000|10/18/2022
10/17/2022|3638.65|3689.73|3638.65|3677.95|3677.95|4352780000|10/17/2022
10/14/2022|3690.41|3712.00|3579.68|3583.07|3583.07|4243030000|10/14/2022
10/13/2022|3520.37|3685.41|3491.58|3669.91|3669.91|5021680000|10/13/2022
10/12/2022|3590.83|3608.34|3573.86|3577.03|3577.03|4006830000|10/12/2022
10/11/2022|3595.86|3640.66|3568.45|3588.84|3588.84|4759030000|10/11/2022
10/10/2022|3647.51|3652.17|3588.10|3612.39|3612.39|3834320000|10/10/2022
10/7/2022|3706.74|3706.74|3620.73|3639.66|3639.66|4449660000|10/7/2022
10/6/2022|3771.97|3797.93|3739.22|3744.52|3744.52|4252100000|10/6/2022
10/5/2022|3753.25|3806.91|3722.66|3783.28|3783.28|4293180000|10/5/2022
10/4/2022|3726.46|3791.92|3726.46|3790.93|3790.93|5146580000|10/4/2022
10/3/2022|3609.78|3698.35|3604.93|3678.43|3678.43|4806680000|10/3/2022
9/30/2022|3633.48|3671.44|3584.13|3585.62|3585.62|5645360000|9/30/2022
9/29/2022|3687.01|3687.01|3610.40|3640.47|3640.47|4681810000|9/29/2022
9/28/2022|3651.94|3736.74|3640.61|3719.04|3719.04|4684850000|9/28/2022
9/27/2022|3686.44|3717.53|3623.29|3647.29|3647.29|4577740000|9/27/2022
9/26/2022|3682.72|3715.67|3644.76|3655.04|3655.04|4886140000|9/26/2022
9/23/2022|3727.14|3727.14|3647.47|3693.23|3693.23|5144270000|9/23/2022
9/22/2022|3782.36|3790.90|3749.45|3757.99|3757.99|4284600000|9/22/2022
9/21/2022|3871.40|3907.07|3789.49|3789.93|3789.93|4078330000|9/21/2022
9/20/2022|3875.23|3876.01|3827.54|3855.93|3855.93|4058050000|9/20/2022
9/19/2022|3849.91|3900.45|3838.50|3899.89|3899.89|3766850000|9/19/2022
9/16/2022|3880.95|3880.95|3837.08|3873.33|3873.33|7954650000|9/16/2022
9/15/2022|3932.41|3959.14|3888.28|3901.35|3901.35|4441830000|9/15/2022
9/14/2022|3940.73|3961.94|3912.18|3946.01|3946.01|4293240000|9/14/2022
9/13/2022|4037.12|4037.12|3921.28|3932.69|3932.69|4224550000|9/13/2022
9/12/2022|4083.67|4119.28|4083.67|4110.41|4110.41|3814200000|9/12/2022
9/9/2022|4022.94|4076.81|4022.94|4067.36|4067.36|3901940000|9/9/2022
9/8/2022|3959.94|4010.50|3944.81|4006.18|4006.18|3966850000|9/8/2022
9/7/2022|3909.43|3987.89|3906.03|3979.87|3979.87|3890320000|9/7/2022
9/6/2022|3930.89|3942.55|3886.75|3908.19|3908.19|4127340000|9/6/2022
9/2/2022|3994.66|4018.43|3906.21|3924.26|3924.26|3665850000|9/2/2022
9/1/2022|3936.73|3970.23|3903.65|3966.85|3966.85|4152250000|9/1/2022
8/31/2022|4000.67|4015.37|3954.53|3955.00|3955.00|4542490000|8/31/2022
8/30/2022|4041.25|4044.98|3965.21|3986.16|3986.16|3835860000|8/30/2022
8/29/2022|4034.58|4062.99|4017.42|4030.61|4030.61|3396510000|8/29/2022
8/26/2022|4198.74|4203.04|4057.66|4057.66|4057.66|3832750000|8/26/2022
8/25/2022|4153.26|4200.54|4147.59|4199.12|4199.12|3566870000|8/25/2022
8/24/2022|4126.55|4156.56|4119.97|4140.77|4140.77|3583630000|8/24/2022
8/23/2022|4133.09|4159.77|4124.03|4128.73|4128.73|3823520000|8/23/2022
8/22/2022|4195.08|4195.08|4129.86|4137.99|4137.99|3907430000|8/22/2022
8/19/2022|4266.31|4266.31|4218.70|4228.48|4228.48|3761340000|8/19/2022
8/18/2022|4273.13|4292.53|4261.98|4283.74|4283.74|3340330000|8/18/2022
8/17/2022|4280.40|4302.18|4253.08|4274.04|4274.04|3885030000|8/17/2022
8/16/2022|4290.46|4325.28|4277.77|4305.20|4305.20|4329820000|8/16/2022
8/15/2022|4269.37|4301.79|4256.90|4297.14|4297.14|3696830000|8/15/2022
8/12/2022|4225.02|4280.47|4219.78|4280.15|4280.15|3788010000|8/12/2022
8/11/2022|4227.40|4257.91|4201.41|4207.27|4207.27|4630200000|8/11/2022
8/10/2022|4181.02|4211.03|4177.26|4210.24|4210.24|4546010000|8/10/2022
8/9/2022|4133.11|4137.30|4112.09|4122.47|4122.47|3913090000|8/9/2022
8/8/2022|4155.93|4186.62|4128.97|4140.06|4140.06|4221090000|8/8/2022
8/5/2022|4115.87|4151.58|4107.31|4145.19|4145.19|4085940000|8/5/2022
